object,other,type,con,ra_hr,ra_min,dec_deg,dec_min,mag,subr,urano,ti,size_max,size_min,pa,class,nsts,brstr,bchm,ngc descr,notes
NGC3046,,1STAR,ANT,9,53.3,-27,20,99.9,99.9,324,20,,,,,,,,pF;R;sp of 2,
NGC3051,ESO499-16,GALXY,ANT,9,54,-27,17,11.8,13.2,324,20,2.1m,1.9m,20,E-SO Bar,,,,pF;S;R;gbM;nf of 2,
NGC3056,ESO435-7,GALXY,ANT,9,54.5,-28,18,11.7,12.3,365,20,2.1m,1.3m,16,SBO-a,,,,pB;S;R;vgmbM;*11 att S,
IC2522,ESO374-10,GALXY,ANT,9,55.1,-33,8,11.9,13.6,365,20,2.8m,1.9m,0,SBc,,,,vF;cL;R,
NGC3082,ESO435-18,GALXY,ANT,9,58.9,-30,21,12.5,12.5,365,20,1.8m,0.7m,26,E-SO,,,,vF;S;R;D* att,
NGC3084,IC2528,GALXY,ANT,9,59.1,-27,8,12.3,12.9,324,20,1.7m,1.2m,2,SBab Ring,,,,vF;S;R;*13 att sf,
NGC3087,ESO374-15,GALXY,ANT,9,59.1,-34,14,11.6,13.3,365,20,2.5m,2.2m,,E0,,,,pB;S;R;pmbM;bet 2 st,
NGC3089,ESO435-24,GALXY,ANT,9,59.6,-28,20,12.4,12.9,365,20,1.8m,1m,139,SBb Ring,,,,pF;pS;R;vS st inv,
NGC3095,ESO435-26,GALXY,ANT,10,0.1,-31,33,11.7,13.7,365,20,3.6m,2m,126,SBc,,,,F;L;E;vgvlbM,
NGC3100,NGC3103,GALXY,ANT,10,0.7,-31,40,11.1,12.8,365,20,3.2m,1.7m,154,SBO,,,,pB;pS;R;gpmbM,
NGC3103,NGC3100,GALXY,ANT,10,0.7,-31,40,12.1,99.9,365,20,3.2m,1.7m,154,SBO,,,,eF;pL;R,
NGC3108,ESO435-32,GALXY,ANT,10,2.5,-31,41,11.8,13.3,365,20,2.5m,1.8m,110,Sa,,,,F;S;R;glbM,
IC2537,ESO499-39,GALXY,ANT,10,3.9,-27,34,12.1,13.6,324,20,2.5m,1.7m,26,SBc,,,,eF;L;cE,
NGC3113,ESO435-35,GALXY,ANT,10,4.4,-28,27,12.7,14.1,365,20,3.3m,1.1m,87,SBcd,,,,eF;L;Tri 2* 8m,
NGC3120,ESO374-29,GALXY,ANT,10,5.4,-34,13,12.8,13.5,365,20,1.8m,1.2m,1,SBbc,,,,F;pS;R;gbM,
NGC3125,ESO435-41,GALXY,ANT,10,6.6,-29,56,13,12.8,365,20,1.1m,0.7m,114,E5,,,,cF;S;R;vgbM,
NGC3137,ESO435-47,GALXY,ANT,10,9.1,-29,4,11.5,14.2,365,20,6.2m,2.2m,1,SBc,,,,vF;S;lE,
NGC3157,IC2555,GALXY,ANT,10,11.7,-31,39,13.2,13.3,365,20,2.5m,0.5m,38,SBc,,,,vF;pS;E;*8-9 sp,
NGC3173,ESO500-16,GALXY,ANT,10,14.6,-27,42,12.8,14.1,324,20,2.1m,1.7m,7,Sc,,,,eF;S;R;2 B st f,
NGC3175,ESO436-3,GALXY,ANT,10,14.7,-28,52,11.2,13.2,365,20,5.1m,1.3m,56,SBab,,,,cB;L;mE 51;vglbM,
NGC3223,IC2571,GALXY,ANT,10,21.6,-34,16,11,13.3,366,20,4.1m,2.7m,135,Sb,,,,pB;vL;vlE;pslbMN,
NGC3224,ESO375-13,GALXY,ANT,10,21.7,-34,42,12,13.2,366,20,1.9m,1.5m,133,Elliptical,,,,vF;pS;R;vgmbM,
NGC3241,ESO436-16,GALXY,ANT,10,24.3,-32,29,12.2,13.4,366,20,2.4m,1.6m,123,SBab,,,,F;pmE;glbM;*11 np,
NGC3244,ESO317-24,GALXY,ANT,10,25.5,-39,50,12.3,13.4,399,20,2.1m,1.5m,170,Sc,,,,vF;*11 n 90'',
NGC3249,ESO375-24,GALXY,ANT,10,26.4,-34,58,13.1,13.8,366,20,1.6m,1.3m,139,SBc,,,,eF;pL;R;vgvlbM,
NGC3250,ESO317-26,GALXY,ANT,10,26.5,-39,57,11.1,13,399,20,2.7m,2m,148,Elliptical,,,,pB;pL;R;vgpsbM;*13;45,
NGC3250C,ESO317-28,GALXY,ANT,10,27.7,-40,0,13.3,13.2,399,20,1.7m,0.5m,56,Sab,,,,,
NGC3250A,ESO317-30,GALXY,ANT,10,27.9,-40,5,14.8,13.2,399,20,1.1m,0.2m,89,Sb,,,,,
NGC3250D,ESO317-31,GALXY,ANT,10,28,-39,49,13.3,12.4,399,20,1.7m,0.3m,29,SO,,,,,
NGC3258A,ESO375-32,GALXY,ANT,10,28.3,-35,27,13.2,12.4,366,20,1.1m,0.5m,169,SBO-a,,,,,
NGC3257,ESO375-36,GALXY,ANT,10,28.8,-35,40,13.1,12.9,366,20,1m,0.9m,,E-SO Bar,,,,vF;vS;R;psbM;1st of 4,
NGC3258,ESO375-37,GALXY,ANT,10,28.9,-35,36,11.5,13.6,366,20,3.3m,2.7m,75,Elliptical,,,,cF;S;R;pslbM;2nd of 4,
NGC3250E,ESO317-34,GALXY,ANT,10,29,-40,5,12.5,13.5,399,20,2.1m,1.4m,142,SBc,,,,,
NGC3260,ESO375-40,GALXY,ANT,10,29.1,-35,36,12.6,12.8,366,20,1.2m,0.9m,2,Elliptical,,,,vvF;vS;R;pslbM;3rd of 4,
NGC3267,ESO375-42,GALXY,ANT,10,29.8,-35,19,12.5,13.1,366,20,1.7m,1m,148,SBO,,,,eF;vS;R;1st of 4,
NGC3268,ESO375-45,GALXY,ANT,10,30,-35,20,11.4,13.8,366,20,4m,2.8m,71,Elliptical,,,,F;S;R;2nd of 4,
NGC3269,ESO375-44,GALXY,ANT,10,30,-35,13,12.2,13.2,366,20,2.4m,1.1m,8,SBO-a Ring,,,,F;S;R;bM;3rd of 4,
NGC3275A,ESO375-46,GALXY,ANT,10,30.1,-36,42,15.1,99.9,366,20,1m,0.3m,15,Sa,,,,,
NGC3258B,,GALXY,ANT,10,30.4,-35,34,15.2,99.9,366,20,1m,0.3m,49,SO,,,,,
NGC3271,IC2585,GALXY,ANT,10,30.4,-35,22,11.8,13.5,366,20,2.8m,1.4m,106,SBO,,,,pF;S;E;pmbM;4th of 4,
NGC3273,ESO375-49,GALXY,ANT,10,30.5,-35,37,12.5,12.6,366,20,1.6m,0.7m,97,SBO,,,,vF;vS;R;pslbM;4th of 4,
NGC3275,ESO375-50,GALXY,ANT,10,30.9,-36,44,11.8,13.6,366,20,2.8m,2.1m,,SBab,,,,F;L;vlE;pslbM,
NGC3276,ESO317-40,GALXY,ANT,10,31.2,-39,57,13.4,12.7,399,20,1m,0.6m,74,SO,,,,F;S;*8 p,
NGC3258C,ESO375-53,GALXY,ANT,10,31.4,-35,13,13.7,13.6,366,20,1.1m,0.8m,48,SB Ring,,,,,
NGC3278,ESO317-43,GALXY,ANT,10,31.6,-39,57,12.3,12.4,399,20,1.3m,0.9m,62,Sc,,,,F;S;R;D* nf,
NGC3258D,ESO375-58,GALXY,ANT,10,31.9,-35,25,13.2,13.4,366,20,1.6m,0.9m,5,SBb,,,,,
NGC3281,ESO375-55,GALXY,ANT,10,31.9,-34,51,11.7,13.4,366,20,3.2m,1.6m,140,Sab Ring,,,,eF;pL;E;glbM,
NGC3281B,,GALXY,ANT,10,31.9,-35,12,14.6,99.9,366,20,0.7m,0.6m,40,SO,,,,,
NGC3281A,ESO375-59,GALXY,ANT,10,32,-35,12,14.4,99.9,366,20,1.2m,1m,123,SBO,,,,,
NGC3258E,ESO375-60,GALXY,ANT,10,32.4,-35,0,14.6,13.7,366,20,1.5m,0.3m,27,Sb,,,,,
NGC3281C,ESO375-63,GALXY,ANT,10,33,-34,53,13.3,12.2,366,20,1.4m,0.3m,160,SO,,,,,
NGC3289,ESO375-65,GALXY,ANT,10,34.1,-35,19,12.5,12.6,366,20,2.2m,0.6m,153,SBO-a,,,,eF;vS;R,
NGC3281D,ESO375-68,GALXY,ANT,10,34.3,-34,24,14,13.7,366,20,2m,0.4m,160,SBcd,,,,,
NGC3302,ESO437-7,GALXY,ANT,10,35.8,-32,22,12.5,13.1,366,20,1.6m,1.2m,118,SO,,,,eF;S;R,
NGC3333,ESO376-2,GALXY,ANT,10,39.8,-36,2,13.2,12.7,366,20,2.1m,0.4m,160,SBbc,,,,eF;vS;mE;*15 att,
NGC3347A,ESO376-4,GALXY,ANT,10,40.3,-36,25,12.8,13,366,20,2m,0.8m,5,SBc,,,,,
NGC3347C,ESO376-5,GALXY,ANT,10,40.9,-36,17,14.2,14.7,366,20,1.4m,1.1m,20,SBcd,,,,,
NGC3347B,ESO376-10,GALXY,ANT,10,42,-36,56,13.2,14,366,20,3.2m,0.8m,95,SBcd,,,,,
NGC3347,ESO376-13,GALXY,ANT,10,42.8,-36,21,11.3,13.3,366,20,3.4m,2.1m,173,SBb,,,,pF;S;mE 0;vsvmbM;1st of 3,
NGC3354,ESO376-14,GALXY,ANT,10,43,-36,22,13.2,12.4,366,20,0.8m,0.6m,,S pec,,,,F;S;vlE;psbM;2nd of 3,
NGC3358,ESO376-17,GALXY,ANT,10,43.6,-36,25,11.4,13.3,366,20,3.2m,1.8m,141,SBO-a,,,,cF;vS;vlE;vS* att;3rd of 3,
NGC3378,ESO318-12,GALXY,ANT,10,46.7,-40,1,12.8,13.4,399,20,1.5m,1.4m,,SBbc,,,,cF;S;R;glbM,
NGC3449,ESO376-25,GALXY,ANT,10,52.9,-32,56,12.2,13.3,366,20,3.3m,1m,148,SBab,,,,F;S;R;*6-7 sf,
PK308-12.1,He2-105,PLNNB,APS,14,15.5,-74,13,13.4,12,467,25,35s,,,,,14.7,,,
NGC5612,ESO22-1,GALXY,APS,14,34,-78,23,12.1,12.6,467,25,1.9m,1.1m,63,Sab,,,,vF;E;gbM;r,
IC4499,GCL30,GLOCL,APS,15,0.3,-82,13,10.1,99.9,467,25,7.6m,,,XI,,14.6,,Cl;vF;4' diam;3 F stars in neby?,Faint;iR haze 3' across--Hartung
NGC5799,ESO67-6,GALXY,APS,15,5.6,-72,26,14.3,99.9,453,25,1.3m,0.9m,130,Sa,,,,eF;S;R;bM,
NGC5833,ESO42-3,GALXY,APS,15,11.9,-72,52,12,14,468,25,3.1m,2.3m,128,Sbc,,,,F;cS;lE;glbM;am st,
PK315-13.1,He2-131,PLNNB,APS,15,37.2,-71,55,11.8,6.8,453,25,4.9s,,,,,10.9,,,Low Excitation PLNNB
NGC5967A,ESO42-9,GALXY,APS,15,47,-75,47,13.3,99.9,468,25,2m,1.5m,43,SBc,,,,,
NGC5967,ESO42-10,GALXY,APS,15,48.3,-75,40,12,13.6,468,25,2.7m,1.7m,90,SBc,,,,F;pL;R;vgbM,
NGC6101,GCL40,GLOCL,APS,16,25.8,-72,12,9.3,99.9,454,26,10.7m,,,X,,13.5,C,pF;L;iR;vgbM;*14,
NGC6151,,ASTER,APS,16,38.4,-73,15,99.9,99.9,468,26,,,,,,,,vF;vS*9 nr,
NGC6209,ESO43-8,GALXY,APS,16,55,-72,35,12.6,99.9,468,26,2m,1.6m,10,Sbc,,,,vF;pL;vgvlbM,
NGC6392,ESO70-12,GALXY,APS,17,43.5,-69,47,12.5,99.9,455,26,1.3m,1.3m,,Sab,,,,cF;S;R;glbM;*13 sp,
NGC6557,ESO45-1,GALXY,APS,18,21.4,-76,35,13.9,99.9,469,26,1.6m,1.1m,80,SO,,,,vF;vS;R;glbM,
PK29+0.1,Abell48,PLNNB,AQL,18,42.8,-3,13,18.7,99.9,250,16,42.0s,,,4,,,,13'' 150X eF; pS; difficult,13''-eF; pS; at limit of 13 inch on 10/10 night
Berk79,,OPNCL,AQL,18,44.9,-1,9,99.9,99.9,250,16,10m,,,II 1r :b,60,15,,,
NGC6709,OCL100,OPNCL,AQL,18,51.5,10,21,6.7,99.9,205,16,13m,,,III 2 m,40,9.1,,Cl;pRi;lC;iF,
LDN582,,DRKNB,AQL,18,52.6,-1,56,79.9,79.9,250,16,60m,10m,,5 Ir,,,,,N of Scutum star clound; elongated E and W.
Berk80,,OPNCL,AQL,18,54.3,-1,13,99.9,99.9,250,16,4m,,,II 1p :b,20,15,,,
PK39+2.1,K3-17,PLNNB,AQL,18,56.3,7,8,14.8,99.9,206,16,15.0s,,,2,,,,,
PK43+3.1,M1-65,PLNNB,AQL,18,56.6,10,52,16.6,99.9,206,16,4.2s,3.2s,,2,,14.8,,,
NGC6724,,OPNCL,AQL,18,56.8,10,26,12,99.9,206,16,6.2m,,,,,,,Cl,
LDN617,,DRKNB,AQL,18,57.5,1,4,79.9,79.9,251,16,180m,,,5 Ir,,,,,Irregular shape; elongated E and W
PK35-0.1,AP2-1,BRTNB,AQL,18,58.1,1,37,16.7,99.9,251,16,33.0s,,,,,15.1,,,Not a PLNNB;compact H II region
PK32-2.1,M1-66,PLNNB,AQL,18,58.4,-1,4,13,9.4,251,16,10.0s,,,1,,,,,
NGC6728,,ASTER,AQL,19,0.1,-8,56,99.9,99.9,296,16,,,,,,,,Cl;vL;P,H VIII 13
NGC6735,SAO142915,ASTER,AQL,19,0.8,0,28,99.9,99.9,251,16,8m,,,,30,12,,Cl;vL;P;st12...,
NGC6738,OCL101,OPNCL,AQL,19,1.4,11,36,8.3,99.9,206,16,15m,,,IV 2 p,,,,Cl;P;lC,
B127,LDN544,DRKNB,AQL,19,1.6,-5,26,79.9,79.9,251,16,20m,5m,,5 Ir,,,,,Curved;lying north of 12 Aql
Berk81,,OPNCL,AQL,19,1.7,0,27,99.9,99.9,251,16,7m,,,II 2r :b,80,15,,,
PK36-1.1,Sh2-71,PLNNB,AQL,19,2,2,9,12.2,99.9,251,16,2.6m,1.5m,,3b(3),,13.8,,13''-pF; pL; lBM; E 1.8X1 in PA 165; F * invl; use UHC,
B129,LDN549,DRKNB,AQL,19,2.1,-5,18,79.9,79.9,251,16,5m,,,5,,,,,Very black; sharply defined; diam. 5'; a small star at the W end
NGC6741,PK33-2.1,PLNNB,AQL,19,2.6,0,27,12,7,251,16,9s,7s,,4,,14.7,,Planetary;stellar,Phantom Streak Nebula
PK47+4.1,K3-21,PLNNB,AQL,19,2.7,14,28,17.6,99.9,206,16,7.1s,,,2,,16.9,,,
Sh2-72,,BRTNB,AQL,19,3.8,2,19,99.9,99.9,251,16,25m,,,E,,,,,
B132,LDN567,DRKNB,AQL,19,4.1,-4,28,79.9,79.9,251,16,16m,8m,,6 Ir,,,,,40' north preceding Lamba AQL
PK50+5.1,Abell52,PLNNB,AQL,19,4.5,17,58,16.5,99.9,161,16,37s,34s,,3b,,18.4,,,
NGC6749,GCL107,GLOCL,AQL,19,5.3,1,54,12.4,99.9,251,16,6.3m,,,,,16.5,,L;lC;st L&S,Globular absorbed by 7 mags; Berkley 42 mistaken for open cl
NGC6751,PK29-5.1,PLNNB,AQL,19,5.9,-6,0,12,9.2,296,16,20s,,,3,,13,,pB;S,Annular
B133,LDN531,DRKNB,AQL,19,6.1,-6,50,79.9,79.9,296,16,10m,3m,,6 Co G,,,,Seen in 11X80 finder; No * in 13''; DARK SPOT!,Cometary; On Scutum star cloud 2 deg south of Lamba Aql
PK40-0.1,Abell53,PLNNB,AQL,19,6.8,6,24,16.9,99.9,206,16,30s,27s,,4,,20.9,,,
B134,LDN543,DRKNB,AQL,19,6.9,-6,14,79.9,79.9,296,16,6m,6m,,6 C G,,,,,1.4 deg south of Lamba Aql
B135,LDN581,DRKNB,AQL,19,7.4,-3,55,79.9,79.9,251,16,50m,30m,,6 Ir,,,,6'' not very prominent on great night,Dusty spots; 1 deg north following Lamba Aql
Czernik39,,OPNCL,AQL,19,7.6,4,18,99.9,99.9,251,16,6m,,,III 2m :b,,,,,
NGC6755,OCL96,OPNCL,AQL,19,7.8,4,16,7.5,99.9,251,16,15m,,,IV 2 m,100,10.2,H,Cl;vL;vRi;pC;*12...14,H VII 19
NGC6756,OCL99,OPNCL,AQL,19,8.7,4,42,10.6,99.9,251,16,4m,,,I 2 m,40,13,H,Cl;S;Ri;lC;*11...12,H VII 62
PK33-5.1,Abell55,PLNNB,AQL,19,10.5,-2,21,15.4,99.9,251,16,47s,32s,,3,,20.5,,,
NGC6760,GCL109,GLOCL,AQL,19,11.2,1,2,9.1,99.9,251,16,2.4m,,,IX,,15.6,,pB;pL;vglbM (Auw. 44),
Berk82,,OPNCL,AQL,19,11.3,13,7,99.9,99.9,206,16,4m,,,III 1p :b,20,14,,,
PK48+2.1,K3-24,PLNNB,AQL,19,12.1,15,9,18.2,99.9,206,16,6.2s,,,2,,,,,
PK32-6.1,K2-10,PLNNB,AQL,19,13,-3,32,18.7,99.9,251,16,24s,20s,,4,,21,,,
PK37-3.2,Abell56,PLNNB,AQL,19,13.1,2,53,15.5,99.9,251,16,3.3m,2.7m,,4,,19.7,,,
PK49+2.1,M4-12,PLNNB,AQL,19,13.1,15,47,18.6,99.9,206,16,30.0s,,,4(2),,,,,
PK39-2.1,M2-47,PLNNB,AQL,19,13.6,4,38,14.9,99.9,251,16,9.7s,6.9s,,2,,17.3,,,
PK48+1.1,He2-429,PLNNB,AQL,19,13.6,14,59,16.3,99.9,206,16,4.4s,4s,,4,,,,,
PK38-3.2,M1-69,PLNNB,AQL,19,13.9,3,38,14,99.9,251,16,5s,,,1,,,,,
PK38-3.3,K2-11,PLNNB,AQL,19,14.3,3,35,13.6,99.9,251,16,13s,,,3b,,19.4,,,
NGC6772,PK33-6.1,PLNNB,AQL,19,14.6,-2,42,14,99.9,251,16,75s,55s,,3b(2),,18.1,,vF;L;R;vvlBM;r,H IV 14;PK33-6.1
NGC6773,,ASTER,AQL,19,15.1,4,53,99.9,99.9,251,16,,,,,,,,Cl;P;lC,
Berk43,,OPNCL,AQL,19,15.5,11,17,99.9,99.9,206,16,5m,,,II 1m:b,40,15,,,
B137,LDN618,DRKNB,AQL,19,15.6,0,13,79.9,79.9,251,16,180m,10m,,3 Ir,,,,,Long;curved lane on Scutum star cloud
B138,LDN627,DRKNB,AQL,19,16,0,13,79.9,79.9,251,16,180m,,,3,,,,,Great curved; semi-vacant lane over 3 degrees in length
IC4846,PK27-9.1,PLNNB,AQL,19,16.5,-9,3,12,4.5,296,16,2s,,,2,,13.7,,stellar,
NGC6775,,ASTER,AQL,19,16.9,0,55,99.9,99.9,251,16,,,,,20,,,Cl;P;lC;st10...15,
B139,LDN619,DRKNB,AQL,19,18.1,-1,28,79.9,79.9,251,16,10m,2m,,5 E G,,,,,At south tip of B137-8; magnitude 10 star on SE edge
PK37-5.1,Abell58,PLNNB,AQL,19,18.3,1,47,18.8,99.9,251,16,44s,36s,,,,19.4,,,cent* variable V605 Aql
NGC6778,PK34-6.1,PLNNB,AQL,19,18.4,-1,36,13.3,9.1,251,16,19s,13s,,3(3),,14.8,,S;E;Ill-defined disc,
NGC6785,PK34-6.1,PLNNB,AQL,19,18.4,-1,36,13.3,99.9,251,16,25s,19s,,3(3),,,,eS;stellar,
NGC6781,PK41-2.1,PLNNB,AQL,19,18.5,6,32,11.8,12.8,206,16,111s,109s,,3b(3),,16.9,B H,F;L;R;vsbM disc,H III 743;PK41-2.1;opposite dark lane from Altair
PK26-11.1,Nassau2,PLNNB,AQL,19,18.7,-11,6,13.3,99.9,296,16,16.0s,,,,,14,,,
Berk45,,OPNCL,AQL,19,19.1,15,43,99.9,99.9,206,16,4m,,,II 1p :b,20,15,,,
LDN673,,DRKNB,AQL,19,20.9,11,16,79.9,79.9,206,16,55m,15m,,6 Ir,,,,6'' not much; mediocre contrast with background,8 degrees north preceding Altair;filamentary
PK43-3.1,M4-14,PLNNB,AQL,19,21,7,37,15,10.3,206,16,8.2s,,,4(3),,,,,
LDN684,,DRKNB,AQL,19,21.8,12,26,79.9,79.9,206,16,50m,10m,,5 Ir,,,,,Lies north of dark neb LDN 673
NGC6790,PK37-6.1,PLNNB,AQL,19,23,1,31,11.4,5.9,251,16,2s,,,2,,16.1,,B;eS;stell=9.5m,Nearly stellar
PK45-2.1,Vy2-2,PLNNB,AQL,19,24.4,9,54,12.7,9.6,206,16,14.0s,,,1,,14.6,,,
King25,,OPNCL,AQL,19,24.5,13,42,99.9,99.9,206,16,5m,,,III 2m :b,40,,,,
Do35,,OPNCL,AQL,19,25.4,11,40,99.9,99.9,206,16,7m,,,IV 2p :b,10,,,,
NGC6795,,ASTER,AQL,19,26.3,3,31,99.9,99.9,251,16,,,,,,,,Cl;Ri;bet 2*9,
PK31-10.1,M3-34,PLNNB,AQL,19,27.1,-6,35,12.4,99.9,296,16,6s,5.1s,,2,,16.3,,13''-vF; S; R; nBM at 150X; light green tiny disk,
PK46-3.1,Peimbert9,PLNNB,AQL,19,27.8,10,24,14.8,11.3,206,16,12.0s,,,1,,,,,
PK48-2.1,Peimbert10,PLNNB,AQL,19,28.2,12,19,14.5,10.9,207,16,10s,,,,,,,,
King26,,OPNCL,AQL,19,29,14,52,99.9,99.9,207,16,1m,,,II 1p :b,15,,,,
NGC6803,PK46-4.1,PLNNB,AQL,19,31.3,10,3,11,6.4,207,16,4s,,,2a,,14,,stellar,
NGC6804,PK45-4.1,PLNNB,AQL,19,31.6,9,14,12.4,11,207,16,63s,50s,,4(2),,14.2,,cB;S;iR;rrr,H VI 38;PK45-4.1;Herschel misclassified this as open cl
PK47-4.1,Abell62,PLNNB,AQL,19,33.3,10,37,14.8,99.9,207,16,2.6m,,,2c,,18.8,,13''-eF;pS;E;nBM at 165X; 2 vF* invol,
NGC6807,PK42-6.1,PLNNB,AQL,19,34.6,5,41,13.8,4.8,207,16,2s,,,2,,13.9,,stellar,
B336,LDN702,DRKNB,AQL,19,36.7,12,20,79.9,79.9,207,16,2m,,,5,,,,,Dark; in slightly larger vacant space; BD +11 3912 (mag 8.6) in SW part
B334,LDN701,DRKNB,AQL,19,36.8,12,27,79.9,79.9,207,16,40m,5m,,4 Ir,,,,,2 deg north preceding B142-3
B335,LDN663,DRKNB,AQL,19,36.9,7,34,79.9,79.9,207,16,4m,,,6 E G,,,,,3.5 deg preceding and 1.2 deg south of Altair
B337,LDN705,DRKNB,AQL,19,37,12,23,79.9,79.9,207,16,3m,,,5,,,,,Small dark spot with narrow extension for 17' to NW.
Cr401,,OPNCL,AQL,19,38.4,0,21,7,99.9,252,16,1m,,,IV 2 m,,,,,
PK52-2.2,Merrill1-1,PLNNB,AQL,19,39.1,15,56,12.6,7.7,207,16,8.0s,,,4,,14.1,,13''-pF;vS;R;BM at 165X; averted viz helps,Stellar
B142,LDN688,DRKNB,AQL,19,40.7,10,57,79.9,79.9,207,16,80m,50m,,6 Ir,,,,4''-The 'E' nebula; very prominent; west end no *,Barnard's famous E; Narrow lanes 3 deg north preceding Altair
PK51-3.1,M1-73,PLNNB,AQL,19,41.2,14,57,13.7,8.5,207,16,5.4s,4.8s,,2,,14.5,,,
B143,LDN694,DRKNB,AQL,19,41.5,11,0,79.9,79.9,207,16,30m,,,6,,,,4'' dark curved arc in rich field,More of E neby; outline of a square 30' in diam with the W side missing
PK51-4.1,Ap22,PLNNB,AQL,19,42,13,51,14.4,99.9,207,16,24s,18s,,,,18.1,,,
PK52-4.1,M1-74,PLNNB,AQL,19,42.3,15,9,12.9,99.9,207,16,9s,,,1,,,,,Very difficult
NGC6814,MCG-2-50-1,GALXY,AQL,19,42.7,-10,20,11.2,13.4,297,16,3.5m,3.5m,,SBbc Ring,,,,pF;pL;R;bM;r,H III 744
NGC6821,MCG-1-50-2,GALXY,AQL,19,44.4,-6,50,13.1,13.1,297,16,1.3m,1.1m,135,SBcd,,,,F;pL;R,
Pal11,,GLOCL,AQL,19,45.3,-8,1,9.8,99.9,297,16,10m,,,XI,,,,13''-F; pS; R; lBM; low surface brightness,
NGC6828,,ASTER,AQL,19,50.3,7,57,99.9,99.9,207,16,,,,,,,,Cl;P;lC,H VIII 73
NGC6837,OCL108,OPNCL,AQL,19,53.5,11,41,12,99.9,207,16,6m,3m,,IV 1p :b,,,,Cl;S;P,H VIII 18
NGC6840,,ASTER,AQL,19,55.3,12,8,99.9,99.9,207,16,,,,,,,,Cl;P;lC,H VIII 19
NGC6843,,ASTER,AQL,19,56.1,12,10,99.9,99.9,207,16,,,,,,,,Cl;S;P,
PK43-13.1,Abell67,PLNNB,AQL,19,58.4,3,3,16,99.9,252,16,69s,61s,,2b,,19.3,,,
NGC6852,PK42-14.1,PLNNB,AQL,20,0.7,1,44,11.4,11.2,253,16,28s,,,4,,17.9,,F neb;am st,
NGC6858,,ASTER,AQL,20,2.9,11,16,99.9,99.9,208,16,,,,,,,,Cl;cL;E;pRi;st13...,
NGC6859,,3STAR,AQL,20,3.8,0,27,99.9,99.9,253,16,,,,,,,,vS Cl;*10p1s;s1'29'',
NGC6863,,8STAR,AQL,20,5.1,-3,31,99.9,99.9,253,16,,,,,,,,Cl;S;vmC;st19,Small group of 8 stars hardly a cluster
NGC6865,,GALXY,AQL,20,5.9,-9,2,14.6,99.9,298,16,0.8m,0.6m,130,SO,,,,F;S;E,
NGC6900,MCG0-52-1,GALXY,AQL,20,21.6,-2,34,14,99.9,253,16,1m,0.8m,85,Sb,,,,vF;S;R,
NGC6901,IC1316,GALXY,AQL,20,22.4,6,26,13.7,13.4,208,16,1.1m,0.4m,63,SBab,,,,eF,IC5000=IC1316
NGC6906,UGC11548,GALXY,AQL,20,23.6,6,27,12.3,12.4,208,16,1.6m,0.8m,36,SBbc,,,,pF;pL;R,
IC5006,,1STAR,AQL,20,23.7,6,28,12,99.9,208,16,,,,,,,,*14m in F;vS;R neb,
NGC6915,IRAS20251-0314,GALXY,AQL,20,27.8,-3,5,13.1,99.9,253,16,1.5m,0.9m,80,Sab,,,,pB;S;R,
NGC6922,UGC11574,GALXY,AQL,20,29.9,-2,12,13.5,13.7,253,16,1.3m,1m,150,Sc,,,,vF;pL;R,
PK38-25.1,Abell70,PLNNB,AQL,20,31.6,-7,5,14.3,13.9,298,16,44s,40s,,4,,19.1,,,Has galaxy PGC 187663 involved on west edge of annular structure.
NGC6926,UGC11588,GALXY,AQL,20,33.1,-2,2,12.4,13.3,254,16,2m,1.4m,0,SBc/P,,,,vF;pL;E176;p of 2,H III 142;Distorted;UGC 11588
NGC6929,MCG0-52-35,GALXY,AQL,20,33.4,-2,2,13.4,12.6,254,16,0.8m,0.7m,95,Sa,,,,vF;vS;sf of 2,
NGC6941,MCG-1-52-10,GALXY,AQL,20,36.4,-4,37,13.5,99.9,254,16,2m,1.4m,50,Sb,,,,eF;lE;lbM,
NGC6945,MCG-1-52-15,GALXY,AQR,20,39,-4,58,13.5,99.9,254,16,1.6m,0.8m,30,E-SO,,,,pF;vS;R;mbM,
NGC6985,MCG-2-53-1,GALXY,AQR,20,45.1,-11,6,14.5,99.9,299,16,1.5m,0.8m,80,Sa,,,,eF;vS;iR,
MCG-02-53-003,AquariusDwarf,GALXY,AQR,20,46.8,-12,51,13.9,14.8,299,16,2.2m,1.1m,,IBm,,,,11''-eF; S; E 1.8X1; vlBM at 125X,Member of Local Group
NGC6959,ZwG374.13,GALXY,AQR,20,47.1,0,26,13.7,11.8,254,16,0.6m,0.3m,120,SO,,,,vF,
NGC6961,ZwG374.14,GALXY,AQR,20,47.2,0,22,13.7,12.3,254,16,0.6m,0.5m,110,Elliptical,,,,eF;vS,
NGC6962,UGC11628,GALXY,AQR,20,47.3,0,19,12.1,14,254,16,2.9m,2.2m,75,SBab,,,,cF;S;R;bM,H II 426;P w NGC 6964 at 2' PA 135;brst in group;UGC 11628
NGC6963,,2STAR,AQR,20,47.3,0,31,99.9,99.9,254,16,,,,,,,,neb *13m,Only a double star at this position
NGC6965,UGC11630,GALXY,AQR,20,47.3,0,29,14,13,254,16,0.7m,0.7m,,SO,,,,vF;vS,P w NGC 6963 at 5.5' PA 323
